City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saskylakh,71.9167,114.0833,-40.75,100,100,1.73,RU,1675623177
84,nikolskoye,59.7035,30.7861,-5.05,85,100,3.19,RU,1675622579
85,kruisfontein,-34.0033,24.7314,21.55,81,54,4.7,ZA,1675623178
86,hami,42.8,93.45,-1.5,39,0,0.29,CN,1675623178
87,romny,50.751,33.4747,-3.97,91,98,4.29,UA,1675623178
88,biak,-0.9131,122.8766,24.38,82,100,2.38,ID,1675623134
89,tuktoyaktuk,69.4541,-133.0374,-44.0,66,20,1.54,CA,1675623179
90,richards bay,-28.783,32.0377,22.86,88,2,1.45,ZA,1675623179
91,cidreira,-30.1811,-50.2056,27.85,53,1,6.72,BR,1675623180
92,acapulco,16.8634,-99.8901,29.9,58,0,2.57,MX,1675623039
93,comodoro rivadavia,-45.8667,-67.5,24.92,29,0,4.63,AR,1675622459
94,hasaki,35.7333,140.8333,1.22,80,98,4.17,JP,1675623181
95,zabol,32.25,67.25,2.25,91,19,0.89,AF,1675623181
96,magherani,46.5667,24.9,-4.69,90,25,1.79,RO,1675623181
97,east london,-33.0153,27.9116,24.52,88,0,4.12,ZA,1675623182
98,eydhafushi,5.1033,73.0708,27.1,75,100,3.99,MV,1675623183
99,samarai,-10.6167,150.6667,26.42,85,100,7.02,PG,1675623184
100,rio casca,-20.2261,-42.6508,30.16,68,5,1.07,BR,1675623185
101,skibbereen,51.55,-9.2667,9.5,92,51,2.78,IE,1675623185
102,vaitape,-16.5167,-151.75,27.39,75,7,6.46,PF,1675623186
103,isangel,-19.55,169.2667,26.82,82,100,2.64,VU,1675623187
104,priiskovyy,51.9333,116.6333,-29.92,100,52,0.98,RU,1675623188
105,aloleng,16.1307,119.7824,24.58,80,62,4.18,PH,1675623188
106,mount isa,-20.7333,139.5,24.87,100,100,2.57,AU,1675623189
107,constitucion,-35.3333,-72.4167,20.51,71,19,3.42,CL,1675623108
108,campbell river,50.0163,-125.2446,7.74,100,75,1.54,CA,1675623190
109,ulaangom,49.9811,92.0667,-19.65,99,100,0.64,MN,1675623191
110,llandrindod wells,52.2416,-3.3787,3.3,71,100,0.85,GB,1675623192
111,laje,-10.1833,-40.9667,34.36,22,20,5.07,BR,1675623192
112,hermanus,-34.4187,19.2345,20.45,81,84,4.22,ZA,1675623194
113,nhulunbuy,-12.2333,136.7667,24.34,94,75,1.03,AU,1675623195
114,punta arenas,-53.15,-70.9167,12.06,43,0,15.95,CL,1675623050
115,ekpoma,6.7421,6.139,27.68,48,100,2.21,NG,1675623198
116,high prairie,55.4334,-116.4858,0.94,89,100,2.42,CA,1675623200
117,srikakulam,18.3,83.9,20.27,74,4,0.77,IN,1675623201
118,bilma,18.6853,12.9164,22.64,14,24,6.21,NE,1675623203
119,gamba,-2.65,10.0,25.56,83,22,2.38,GA,1675622678
120,ancud,-41.8697,-73.8203,18.1,73,23,5.07,CL,1675623204
121,moose factory,51.2585,-80.6094,-17.0,71,75,2.06,CA,1675622674
122,bhindar,24.5,74.1833,17.74,30,0,1.8,IN,1675623207
123,atar,20.5169,-13.0499,21.26,18,68,3.99,MR,1675622636
124,eirunepe,-6.6603,-69.8736,24.21,89,100,1.01,BR,1675623209
125,puebloviejo,10.9938,-74.2844,35.27,43,40,6.17,CO,1675623210
126,deniliquin,-35.5333,144.9667,14.92,72,0,2.75,AU,1675623210
127,thohoyandou,-22.9456,30.485,22.29,52,0,1.29,ZA,1675623211
128,cabo san lucas,22.8909,-109.9124,29.78,54,5,0.89,MX,1675623039
129,cape town,-33.9258,18.4232,21.23,82,20,8.23,ZA,1675623211
130,mecca,21.4267,39.8261,22.53,56,35,1.54,SA,1675623139
131,kawalu,-7.3817,108.2082,22.77,88,100,1.25,ID,1675623212
132,touros,-5.1989,-35.4608,28.49,68,100,5.79,BR,1675623200
133,ahipara,-35.1667,173.1667,17.75,93,100,3.34,NZ,1675623212
134,xaltepec,18.8667,-97.6,20.79,25,0,2.33,MX,1675623213
135,avarua,-21.2078,-159.775,27.03,83,20,5.66,CK,1675623213
136,bereda,43.2686,-7.5406,5.08,99,8,3.11,ES,1675623214
137,ilulissat,69.2167,-51.1,-15.99,72,75,4.63,GL,1675623214
138,maarianhamina,60.0973,19.9348,-0.08,80,0,3.6,AX,1675623215
139,saint-philippe,-21.3585,55.7679,26.77,87,91,4.68,RE,1675623215
140,bukan,36.521,46.2089,-0.59,86,100,2.99,IR,1675623216
141,padang,-0.9492,100.3543,22.03,78,100,1.12,ID,1675623216
142,tiksi,71.6872,128.8694,-34.12,100,100,1.47,RU,1675623140
143,georgetown,5.4112,100.3354,24.96,100,20,1.03,MY,1675622977
144,tyukalinsk,55.8732,72.1967,-18.4,99,100,1.81,RU,1675623217
145,vardo,70.3705,31.1107,-7.01,86,0,11.83,NO,1675623155
146,los llanos de aridane,28.6585,-17.9182,14.86,79,75,5.66,ES,1675622626
147,severo-kurilsk,50.6789,156.125,-4.16,80,99,3.35,RU,1675623218
148,deep river,46.1001,-77.4995,0.49,99,100,2.23,CA,1675623218
149,vila,42.0304,-8.1588,6.49,69,0,1.88,PT,1675623218
150,goderich,43.7501,-81.7165,3.84,75,100,7.2,CA,1675623219
151,farafangana,-22.8167,47.8333,23.87,88,100,3.72,MG,1675623219
152,baculin,7.4525,126.5842,24.66,81,99,2.39,PH,1675623220
153,ventspils,57.3894,21.5606,1.96,75,20,6.69,LV,1675623220
154,nosy varika,-20.5833,48.5333,23.65,90,100,1.97,MG,1675623220
155,camocim,-2.9022,-40.8411,28.6,71,100,6.43,BR,1675623221
156,torbay,47.6666,-52.7314,-1.9,70,75,13.89,CA,1675622614
157,beloha,-25.1667,45.05,22.13,90,100,3.86,MG,1675623215
158,mount gambier,-37.8333,140.7667,11.07,93,15,1.67,AU,1675623203
159,port elizabeth,-33.918,25.5701,25.61,92,40,8.23,ZA,1675623222
160,kodiak,57.79,-152.4072,3.73,100,100,6.69,US,1675623222
161,kaitangata,-46.2817,169.8464,15.07,84,100,6.7,NZ,1675623222
162,wamba,8.9333,8.6,28.25,20,100,1.58,NG,1675623223
163,flinders,-34.5833,150.8552,21.21,81,100,0.89,AU,1675623223
164,mayo,38.8876,-76.5119,12.7,38,0,4.63,US,1675623224
165,yala,6.3333,101.25,21.88,97,100,1.11,TH,1675623224
